date,datatype,station,value,fl_m,fl_q,fl_so,fl_t,units,year,temp
1960-01-25T00:00:00Z,TMIN,GHCND:USC00190535,-122,,,0,2400,celcius_tenths,1960,-12.2
1960-01-26T00:00:00Z,TMAX,GHCND:USC00190535,44,,,0,2400,celcius_tenths,1960,4.4
1960-01-26T00:00:00Z,TMIN,GHCND:USC00190535,-133,,,0,2400,celcius_tenths,1960,-13.3
1960-01-27T00:00:00Z,TMAX,GHCND:USC00190535,17,,,0,2400,celcius_tenths,1960,1.7
1960-01-27T00:00:00Z,TMIN,GHCND:USC00190535,-94,,,0,2400,celcius_tenths,1960,-9.4
1960-01-28T00:00:00Z,TMAX,GHCND:USC00190535,28,,,0,2400,celcius_tenths,1960,2.8
1960-01-28T00:00:00Z,TMIN,GHCND:USC00190535,-17,,,0,2400,celcius_tenths,1960,-1.7
1960-01-29T00:00:00Z,TMAX,GHCND:USC00190535,83,,,0,2400,celcius_tenths,1960,8.3
1960-01-29T00:00:00Z,TMIN,GHCND:USC00190535,-39,,,0,2400,celcius_tenths,1960,-3.9
1960-01-30T00:00:00Z,TMAX,GHCND:USC00190535,61,,,0,2400,celcius_tenths,1960,6.1
1960-01-30T00:00:00Z,TMIN,GHCND:USC00190535,-56,,,0,2400,celcius_tenths,1960,-5.6
1960-01-31T00:00:00Z,TMAX,GHCND:USC00190535,39,,,0,2400,celcius_tenths,1960,3.9
1960-01-31T00:00:00Z,TMIN,GHCND:USC00190535,-111,,,0,2400,celcius_tenths,1960,-11.1
1960-02-01T00:00:00Z,TMAX,GHCND:USC00190535,-11,,,0,2400,celcius_tenths,1960,-1.1
1960-02-01T00:00:00Z,TMIN,GHCND:USC00190535,-28,,,0,2400,celcius_tenths,1960,-2.8
1960-02-02T00:00:00Z,TMAX,GHCND:USC00190535,-17,,,0,2400,celcius_tenths,1960,-1.7
1960-02-02T00:00:00Z,TMIN,GHCND:USC00190535,-44,,,0,2400,celcius_tenths,1960,-4.4
1960-02-03T00:00:00Z,TMAX,GHCND:USC00190535,50,,,0,2400,celcius_tenths,1960,5
1960-02-03T00:00:00Z,TMIN,GHCND:USC00190535,-50,,,0,2400,celcius_tenths,1960,-5
1960-02-04T00:00:00Z,TMAX,GHCND:USC00190535,117,,,0,2400,celcius_tenths,1960,11.7
1960-02-04T00:00:00Z,TMIN,GHCND:USC00190535,-89,,,0,2400,celcius_tenths,1960,-8.9
1960-02-05T00:00:00Z,TMAX,GHCND:USC00190535,72,,,0,2400,celcius_tenths,1960,7.2
1960-02-05T00:00:00Z,TMIN,GHCND:USC00190535,-56,,,0,2400,celcius_tenths,1960,-5.6
1960-02-06T00:00:00Z,TMAX,GHCND:USC00190535,94,,,0,2400,celcius_tenths,1960,9.4
1960-02-06T00:00:00Z,TMIN,GHCND:USC00190535,22,,,0,2400,celcius_tenths,1960,2.2
1960-02-07T00:00:00Z,TMAX,GHCND:USC00190535,89,,,0,2400,celcius_tenths,1960,8.9
1960-02-07T00:00:00Z,TMIN,GHCND:USC00190535,28,,,0,2400,celcius_tenths,1960,2.8
1960-02-08T00:00:00Z,TMAX,GHCND:USC00190535,28,,,0,2400,celcius_tenths,1960,2.8
1960-02-08T00:00:00Z,TMIN,GHCND:USC00190535,-83,,,0,2400,celcius_tenths,1960,-8.3
1960-02-09T00:00:00Z,TMAX,GHCND:USC00190535,89,,,0,2400,celcius_tenths,1960,8.9
1960-02-09T00:00:00Z,TMIN,GHCND:USC00190535,-28,,,0,2400,celcius_tenths,1960,-2.8
1960-02-10T00:00:00Z,TMAX,GHCND:USC00190535,83,,,0,2400,celcius_tenths,1960,8.3
1960-02-10T00:00:00Z,TMIN,GHCND:USC00190535,-17,,,0,2400,celcius_tenths,1960,-1.7
1960-02-11T00:00:00Z,TMAX,GHCND:USC00190535,139,,,0,2400,celcius_tenths,1960,13.9
1960-02-11T00:00:00Z,TMIN,GHCND:USC00190535,28,,,0,2400,celcius_tenths,1960,2.8
1960-02-12T00:00:00Z,TMAX,GHCND:USC00190535,128,,,0,2400,celcius_tenths,1960,12.8
1960-02-12T00:00:00Z,TMIN,GHCND:USC00190535,11,,,0,2400,celcius_tenths,1960,1.1
1960-02-13T00:00:00Z,TMAX,GHCND:USC00190535,17,,,0,2400,celcius_tenths,1960,1.7
1960-02-13T00:00:00Z,TMIN,GHCND:USC00190535,-78,,,0,2400,celcius_tenths,1960,-7.8
1960-02-14T00:00:00Z,TMAX,GHCND:USC00190535,67,,,0,2400,celcius_tenths,1960,6.7
1960-02-14T00:00:00Z,TMIN,GHCND:USC00190535,-72,,,0,2400,celcius_tenths,1960,-7.2
1960-02-15T00:00:00Z,TMAX,GHCND:USC00190535,28,,,0,2400,celcius_tenths,1960,2.8
1960-02-15T00:00:00Z,TMIN,GHCND:USC00190535,-83,,,0,2400,celcius_tenths,1960,-8.3
1960-02-16T00:00:00Z,TMAX,GHCND:USC00190535,50,,,0,2400,celcius_tenths,1960,5
1960-02-16T00:00:00Z,TMIN,GHCND:USC00190535,-39,,,0,2400,celcius_tenths,1960,-3.9
1960-02-17T00:00:00Z,TMAX,GHCND:USC00190535,83,,,0,2400,celcius_tenths,1960,8.3
1960-02-17T00:00:00Z,TMIN,GHCND:USC00190535,-44,,,0,2400,celcius_tenths,1960,-4.4
1960-02-18T00:00:00Z,TMAX,GHCND:USC00190535,100,,,0,2400,celcius_tenths,1960,10
1960-02-18T00:00:00Z,TMIN,GHCND:USC00190535,-39,,,0,2400,celcius_tenths,1960,-3.9
1960-02-19T00:00:00Z,TMAX,GHCND:USC00190535,94,,,0,2400,celcius_tenths,1960,9.4
1960-02-19T00:00:00Z,TMIN,GHCND:USC00190535,6,,,0,2400,celcius_tenths,1960,0.6
1960-02-20T00:00:00Z,TMAX,GHCND:USC00190535,28,,,0,2400,celcius_tenths,1960,2.8
1960-02-20T00:00:00Z,TMIN,GHCND:USC00190535,-28,,,0,2400,celcius_tenths,1960,-2.8
1960-02-21T00:00:00Z,TMAX,GHCND:USC00190535,44,,,0,2400,celcius_tenths,1960,4.4
1960-02-21T00:00:00Z,TMIN,GHCND:USC00190535,-33,,,0,2400,celcius_tenths,1960,-3.3
1960-02-22T00:00:00Z,TMAX,GHCND:USC00190535,44,,,0,2400,celcius_tenths,1960,4.4
1960-02-22T00:00:00Z,TMIN,GHCND:USC00190535,-67,,,0,2400,celcius_tenths,1960,-6.7
1960-02-23T00:00:00Z,TMAX,GHCND:USC00190535,44,,,0,2400,celcius_tenths,1960,4.4
1960-02-23T00:00:00Z,TMIN,GHCND:USC00190535,-67,,,0,2400,celcius_tenths,1960,-6.7
1960-02-24T00:00:00Z,TMAX,GHCND:USC00190535,44,,,0,2400,celcius_tenths,1960,4.4
1960-02-24T00:00:00Z,TMIN,GHCND:USC00190535,-56,,,0,2400,celcius_tenths,1960,-5.6
1960-02-25T00:00:00Z,TMAX,GHCND:USC00190535,39,,,0,2400,celcius_tenths,1960,3.9
1960-02-25T00:00:00Z,TMIN,GHCND:USC00190535,-83,,,0,2400,celcius_tenths,1960,-8.3
1960-02-26T00:00:00Z,TMAX,GHCND:USC00190535,44,,,0,2400,celcius_tenths,1960,4.4
1960-02-26T00:00:00Z,TMIN,GHCND:USC00190535,6,,,0,2400,celcius_tenths,1960,0.6
1960-02-27T00:00:00Z,TMAX,GHCND:USC00190535,39,,,0,2400,celcius_tenths,1960,3.9
1960-02-27T00:00:00Z,TMIN,GHCND:USC00190535,-28,,,0,2400,celcius_tenths,1960,-2.8
1960-02-28T00:00:00Z,TMAX,GHCND:USC00190535,39,,,0,2400,celcius_tenths,1960,3.9
1960-02-28T00:00:00Z,TMIN,GHCND:USC00190535,-28,,,0,2400,celcius_tenths,1960,-2.8
1960-02-29T00:00:00Z,TMAX,GHCND:USC00190535,28,,,0,2400,celcius_tenths,1960,2.8
