Year,Month,Avg_Temp
1986,May,56.6
1986,June,62.8
1986,July,67.8
1986,August,66.5
1986,September,59.8
1986,October,50.8
1986,November,39.4
1986,December,32.3
1987,January,25.9
1987,February,25.7
1987,March,36.4
1987,April,44.5
1987,May,57.3
1987,June,66.1
1987,July,70.2
1987,August,67.7
1987,September,61.3
1987,October,50.1
1987,November,41.2
1987,December,32.5
1988,January,24.6
1988,February,29.2
1988,March,36.2
1988,April,43.9
1988,May,55.9
1988,June,65.6
1988,July,71.7
1988,August,72.5
1988,September,61
1988,October,47.3
1988,November,43.7
1988,December,29.2
1989,January,30.5
1989,February,27.1
1989,March,34.5
1989,April,43.7
1989,May,57.7
1989,June,65.4
1989,July,69.6
1989,August,68.4
1989,September,62.8
1989,October,52.7
1989,November,40
1989,December,17.4
1990,January,33.8
1990,February,31.1
1990,March,36.9
1990,April,45.7
1990,May,52.8
1990,June,64.9
1990,July,70.3
1990,August,70.2
1990,September,61.4
1990,October,55.3
1990,November,44
1990,December,36.7
1991,January,26.9
1991,February,32.6
1991,March,37.9
1991,April,48.8
1991,May,61.4
1991,June,66.2
1991,July,71.8
1991,August,70.6
1991,September,60.1
1991,October,53.5
1991,November,41.8
1991,December,32.3
1992,January,27.9
1992,February,28.7
1992,March,32.5
1992,April,42.7
1992,May,54.2
1992,June,64.9
1992,July,67.1
1992,August,67.4
1992,September,60.5
1992,October,48.7
1992,November,39.2
1992,December,31.4
1993,January,27.6
1993,February,22.1
1993,March,32.6
1993,April,45.6
1993,May,57.5
1993,June,65.6
1993,July,71.5
1993,August,70.4
1993,September,61.4
1993,October,49.4
1993,November,42.3
1993,December,30.6
1994,January,18.8
1994,February,23.6
1994,March,35.2
1994,April,49
1994,May,54.5
1994,June,68.2
1994,July,74.1
1994,August,68.1
1994,September,60.3
1994,October,51.6
1994,November,45.5
1994,December,35.1
1995,January,32.1
1995,February,25.5
1995,March,36
1995,April,44.3
1995,May,55
1995,June,66.3
1995,July,73
1995,August,69.7
1995,September,60.6
1995,October,55.5
1995,November,38.2
1995,December,26
1996,January,26.1
1996,February,27
1996,March,33
1996,April,45.6
1996,May,55
1996,June,65.5
1996,July,68.6
1996,August,68.4
1996,September,61.3
1996,October,50.8
1996,November,36.7
1996,December,36.3
1997,January,26
1997,February,33.6
1997,March,34.4
1997,April,44.6
1997,May,53.6
1997,June,65.5
1997,July,71.5
1997,August,68.6
1997,September,61.6
1997,October,50.3
1997,November,38.9
1997,December,32.2
1998,January,31.5
1998,February,34
1998,March,38.5
1998,April,47.7
1998,May,59
1998,June,62.7
1998,July,71.3
1998,August,70.4
1998,September,63.9
1998,October,51.7
1998,November,41.8
1998,December,36.9
1999,January,28.1
1999,February,31.9
1999,March,36.7
1999,April,47.3
1999,May,58.1
1999,June,68.7
1999,July,73.8
1999,August,69.4
1999,September,65.4
1999,October,50.9
1999,November,45.7
1999,December,34.5
2000,January,24.7
2000,February,31.5
2000,March,40.8
2000,April,44.8
2000,May,55.9
2000,June,65
2000,July,67.3
2000,August,67.7
2000,September,61.1
2000,October,51
2000,November,40.6
2000,December,26.5
